benchmark,model_family,pair_id,trace_id,selection_hash
APPWORLD,Qwen,APPWORLD__APPWORLD-NAT-003__QWEN,APPWORLD-NAT-003,299cc6f91313feed009e69a0edce4a0415ca248a9330a121cf2b842a9e4cc1b2
APPWORLD,Llama,APPWORLD__APPWORLD-NAT-010__LLAMA,APPWORLD-NAT-010,0039c73af7c8e3c32d8eb635363706562649375a962139eab08fa4b07f2de085
APPWORLD,Qwen,APPWORLD__APPWORLD-NAT-010__QWEN,APPWORLD-NAT-010,37f1a3d181142c7414bb920039962ed25ba1b52099364a0bec8828b9e785f1d3
APPWORLD,Llama,APPWORLD__APPWORLD-NAT-036__LLAMA,APPWORLD-NAT-036,3045cfebecbeb8eb3906d9dee36eb25b315203a1c1fe4003a20ad9c7bef87a03
APPWORLD,Qwen,APPWORLD__APPWORLD-NAT-036__QWEN,APPWORLD-NAT-036,051097277900140caaceefcb59fac374e1562ee5381ef27a0127429734f67fe5
APPWORLD,Qwen,APPWORLD__APPWORLD-NAT-042__QWEN,APPWORLD-NAT-042,53cbde00b6fcfa2970a3a16b7b83091a38cd1974ca1e773073aff48311623303
APPWORLD,Llama,APPWORLD__APPWORLD-NAT-043__LLAMA,APPWORLD-NAT-043,61f315fd1f90a20a23b1321d116a4e03871b31e88d298c3fa2558482006e2082
APPWORLD,Llama,APPWORLD__APPWORLD-NAT-044__LLAMA,APPWORLD-NAT-044,22a27d1062ab6aef702be2ac02245596bb6818f2869ff40732a0f0c61ff841ca
APPWORLD,Qwen,APPWORLD__APPWORLD-NAT-044__QWEN,APPWORLD-NAT-044,6bc633930f31cef3bd9fe39020f5e3a3978e7603b619d2ea4d26cc3906e1fe8d
APPWORLD,Llama,APPWORLD__APPWORLD-NAT-061__LLAMA,APPWORLD-NAT-061,6247a40bf8c0348a1f25ac842fc162ac982fd0d3ab29abef77f0b0373d60bb26
APPWORLD,Llama,APPWORLD__APPWORLD-NAT-066__LLAMA,APPWORLD-NAT-066,6680d83f79f35665c068a128818edca9a94676a24155163872d86b79cdfaf506
APPWORLD,Llama,APPWORLD__APPWORLD-NAT-072__LLAMA,APPWORLD-NAT-072,18ac7f28bd477070f6344136423c849f5d6bd0e5e56d04b0654d56081a0453a3
APPWORLD,Qwen,APPWORLD__APPWORLD-NAT-072__QWEN,APPWORLD-NAT-072,1536d61ad772c49d5d0a83c405cdda6bd62ce66782f9072f67828164fe196fa0
APPWORLD,Llama,APPWORLD__APPWORLD-NAT-088__LLAMA,APPWORLD-NAT-088,46c6af52eefb3491926797c7cc97f6cb71c1b99dc4547e34430949e45ad90177
APPWORLD,Qwen,APPWORLD__APPWORLD-NAT-088__QWEN,APPWORLD-NAT-088,63bcef4f062b229780ab4b925f16b9057b7ea670233b9ce82fa501cbbbf287bd
APPWORLD,Qwen,APPWORLD__APPWORLD-NAT-094__QWEN,APPWORLD-NAT-094,103d711377f90f8c2ef71938f9de7e2bb7a5d6f5bbb9591687e13fad7c9e8c2d
APPWORLD,Qwen,APPWORLD__APPWORLD-NAT-095__QWEN,APPWORLD-NAT-095,2d17030faa66aae23c085bf8ee27f70c171db2e0f8a086efda4bde432785a12d
APPWORLD,Llama,APPWORLD__APPWORLD-NAT-098__LLAMA,APPWORLD-NAT-098,09ce1a296637d68a98cbf1224097e6b3421c8965cd115c97fa6375e5eef621c7
TAU3,Qwen,TAU3__05a4b9c0-48a7-436d-bde2-a8e7f575bfe3__QWEN,05a4b9c0-48a7-436d-bde2-a8e7f575bfe3,03bdd09f60906d19fb4821af76b8890ffcb7d1720e2b83b93199cd30af87bc76
TAU3,Llama,TAU3__254ebdff-e1f1-42d1-a5b9-9c82a8f96fe8__LLAMA,254ebdff-e1f1-42d1-a5b9-9c82a8f96fe8,5869d2f83c4bb58712e83ef1ed79b03b99e47f1d9019fb43773b54ec4a7603f8
TAU3,Qwen,TAU3__2ed5f78c-886f-4089-94e9-1a1d3c06907b__QWEN,2ed5f78c-886f-4089-94e9-1a1d3c06907b,1f84decfe86278d6b5c18d85dad68268d21e2266da98055d49cf3bba5dd9bdf0
TAU3,Llama,TAU3__30099acb-90e2-4fb3-9473-852e6dd03f5f__LLAMA,30099acb-90e2-4fb3-9473-852e6dd03f5f,334c65bfe334d703581abf7bbcbba1f06174fd054693510ad536a67d64703f5c
TAU3,Qwen,TAU3__30099acb-90e2-4fb3-9473-852e6dd03f5f__QWEN,30099acb-90e2-4fb3-9473-852e6dd03f5f,079329aa7ac51d2131184c898dd255b1505bd0e9900f18e42f24455ca892ac85
TAU3,Llama,TAU3__3457ff1f-539b-4ba6-ab15-cdbcb4b07229__LLAMA,3457ff1f-539b-4ba6-ab15-cdbcb4b07229,0875892b1823caab800165aaa44675afe6e43cde609dd2e62f2a153a9f87ae48
TAU3,Llama,TAU3__427ff18a-0d8c-486f-bab0-417de318c9c2__LLAMA,427ff18a-0d8c-486f-bab0-417de318c9c2,1fc52ac5b5242def731eca3931266ef9f9776b93ecdd4d512688679a19bb8e48
TAU3,Qwen,TAU3__5141914b-43d3-4c2b-9e70-cb74cee76d08__QWEN,5141914b-43d3-4c2b-9e70-cb74cee76d08,4b7cd4642ed139fac2ce5717c74354651e92fc2675f407411db7e62c572d7cc0
TAU3,Llama,TAU3__5a17bc76-e1be-40c2-90f9-5bb7d109fc42__LLAMA,5a17bc76-e1be-40c2-90f9-5bb7d109fc42,3d3f83c4a1c49feabd56460bd0bbe3c15e8745134fd70181f53e0f9a96651f2c
TAU3,Qwen,TAU3__62f649ab-ab0f-4e1a-b668-a55014c93cc0__QWEN,62f649ab-ab0f-4e1a-b668-a55014c93cc0,43a96ae3ed478f17dce29d855cebc62b6e934df0737c13804972478998809c50
TAU3,Qwen,TAU3__6fe69f33-6a4a-4f53-ae91-fda73c013358__QWEN,6fe69f33-6a4a-4f53-ae91-fda73c013358,0a58bd642cabe583f2393786783a649c5828226ff35edbcdcf655717e205f43f
TAU3,Llama,TAU3__7e882479-72f7-49b8-9160-97c6b86d1f42__LLAMA,7e882479-72f7-49b8-9160-97c6b86d1f42,71434661be383dca2a7733e24431bfcc561eef169ee2f48a5efc725c02fe1c24
TAU3,Qwen,TAU3__7e882479-72f7-49b8-9160-97c6b86d1f42__QWEN,7e882479-72f7-49b8-9160-97c6b86d1f42,2160dddf062a683267042b1248ea4503bd9fbaf7ba9636e414241a1e5e49d879
TAU3,Llama,TAU3__91602215-ccca-4600-ba13-aef44780d8f6__LLAMA,91602215-ccca-4600-ba13-aef44780d8f6,7a5cca96ba52fd3f7412471b3e52ed72429fd28d705c27b99a47ef8c1f0638ed
TAU3,Qwen,TAU3__91602215-ccca-4600-ba13-aef44780d8f6__QWEN,91602215-ccca-4600-ba13-aef44780d8f6,02ddc69160f691d48b242e72e6e80fad1ec5eb27d6cde0799316ddb5da163ebd
TAU3,Qwen,TAU3__b84d97c6-7d59-493b-8e16-4732556839e1__QWEN,b84d97c6-7d59-493b-8e16-4732556839e1,20c9639407806d0a1634dcac53431736dc7bced1cd112461ee3c7b8680ee7e4e
TAU3,Llama,TAU3__c3008eca-6ae4-4f7d-a156-5919175c9fa2__LLAMA,c3008eca-6ae4-4f7d-a156-5919175c9fa2,729ff1f07da07e196bdb3fa0660cc2057170968fc8765c8d50614d0961a5062a
TAU3,Llama,TAU3__e373c162-0ec0-482e-9936-13f30180f4b8__LLAMA,e373c162-0ec0-482e-9936-13f30180f4b8,2d065ce3ea6de2b065a8046faaa50915328412bf2475abd3bcc42ba7a1614e33
